Grupo,Usuario,Fecha
10,969,2019-08-27
11,335,2006-05-31
11,163,2010-01-24
11,62,2017-06-04
11,530,2018-08-25
11,311,2004-09-30
11,121,2020-07-31
11,117,2006-12-10
11,128,2006-11-05
11,993,2022-11-23
11,1000,2006-07-23
11,888,2005-03-06
11,638,2014-04-15
11,12,2016-03-02
11,258,2013-03-15
11,842,2018-08-11
11,288,2013-04-24
11,297,2014-05-24
11,137,2011-09-14
11,719,2009-01-10
11,999,2008-01-18
11,695,2017-07-28
11,191,2014-05-10
11,197,2017-06-24
11,388,2016-06-21
11,339,2015-02-15
11,984,2023-03-22
11,622,2015-09-30
11,947,2018-07-31
11,414,2015-05-25
11,337,2015-04-24
11,538,2015-11-27
11,445,2020-12-14
12,149,2014-12-17
12,420,2015-06-06
12,233,2012-04-14
12,505,2012-01-23
12,422,2004-08-19
12,702,2017-11-29
12,478,2015-05-11
12,904,2013-05-29
12,83,2019-07-21
12,516,2006-12-20
12,242,2016-05-11
12,509,2009-04-18
12,688,2008-08-18
12,67,2008-01-14
12,140,2007-03-16
12,24,2017-07-28
12,133,2011-08-25
12,421,2010-04-04
12,834,2008-09-01
12,72,2018-07-21
12,697,2004-08-07
12,792,2018-08-31
12,646,2022-06-19
12,304,2006-12-24
12,877,2022-05-26
12,121,2012-06-10
12,565,2014-12-16
13,483,2011-10-15
13,435,2022-05-20
13,912,2014-11-03
13,749,2023-03-03
13,330,2009-11-22
13,713,2011-01-13
13,529,2008-09-28
13,306,2018-05-07
13,279,2014-02-22
13,32,2021-10-05
13,718,2005-07-11
13,745,2005-01-08
13,961,2020-09-28
13,835,2019-03-16
13,151,2018-07-13
13,291,2016-10-31
13,974,2018-10-15
13,815,2017-02-11
13,369,2009-09-08
13,598,2018-02-10
13,568,2004-12-15
13,182,2021-10-01
13,836,2019-03-22
13,748,2011-05-30
14,489,2016-04-21
14,614,2006-12-31
14,858,2004-12-18
14,64,2007-12-19
14,253,2021-09-19
14,268,2006-12-31
14,190,2004-12-15
14,161,2020-04-02
14,26,2013-01-01
14,51,2015-04-02
14,461,2010-12-17
14,823,2013-08-17
14,706,2016-11-23
14,131,2023-02-14
14,460,2019-04-16
14,100,2009-05-06
14,260,2012-06-22
14,485,2020-09-10
14,799,2006-03-16
14,992,2004-12-19
14,968,2007-02-20
14,953,2008-02-29
14,4,2015-11-12
14,107,2016-04-21
14,794,2015-12-30
14,282,2015-03-02
14,243,2012-01-29
14,267,2019-12-06
14,237,2007-01-17
14,169,2008-06-11
14,286,2016-06-07
14,740,2004-09-25
14,34,2006-08-17
14,816,2014-09-15
14,235,2014-02-15
15,881,2007-12-04
15,842,2010-02-27
15,860,2020-12-30
15,11,2009-12-20
15,68,2021-08-24
15,179,2020-04-12
15,853,2006-01-16
15,137,2006-05-21
15,805,2011-07-02
15,772,2014-11-23
15,351,2016-12-30
15,151,2014-07-02
15,252,2014-01-03
15,177,2011-01-05
15,486,2006-03-02
15,709,2010-05-19
15,614,2006-07-29
15,692,2015-01-03
15,29,2021-01-30
15,87,2022-01-31
15,322,2020-01-24
15,67,2004-12-21
15,245,2016-10-19
15,230,2020-06-28
15,335,2004-10-15
15,589,2012-06-21
15,651,2011-09-10
15,598,2010-02-01
15,332,2005-08-17
15,199,2011-10-06
15,170,2022-12-20
15,666,2023-02-22
15,639,2014-12-02
15,648,2020-02-08
15,350,2022-11-27
15,158,2015-10-23
16,109,2013-04-02
16,437,2006-05-15
16,462,2017-10-11
16,684,2012-11-21
16,973,2018-07-03
16,609,2006-11-05
16,921,2012-08-10
16,767,2009-03-29
16,693,2018-07-29
16,512,2013-04-12
16,192,2021-04-30
16,754,2009-09-07
16,996,2005-01-10
16,263,2010-08-11
16,533,2020-07-16
16,883,2009-05-28
16,532,2018-07-29
16,160,2004-12-13
16,241,2009-03-03
16,416,2010-01-03
16,111,2021-06-22
16,197,2018-08-30
16,838,2018-11-28
16,243,2016-11-02
16,318,2022-09-22
16,606,2018-04-12
16,69,2013-11-17
16,625,2019-04-03
16,978,2004-11-26
16,977,2021-09-01
17,372,2007-09-10
17,264,2007-05-17
17,311,2004-04-27
17,594,2019-12-17
17,147,2019-06-23
17,545,2012-02-17
17,458,2011-03-02
17,97,2022-08-16
17,986,2014-12-05
17,522,2008-02-19
17,785,2007-08-30
17,587,2010-04-25
17,140,2017-03-08
17,947,2016-03-14
17,90,2007-05-19
17,570,2015-09-19
17,971,2010-05-06
17,73,2014-05-14
17,101,2019-12-26
17,796,2020-05-28
17,220,2004-06-11
17,188,2022-04-06
17,64,2022-07-01
17,443,2012-01-12
17,16,2012-09-06
17,893,2006-07-08
17,577,2004-03-07
17,429,2005-07-17
18,915,2019-01-01
18,354,2021-07-19
18,137,2004-12-04
18,878,2022-03-16
18,323,2007-12-24
18,909,2007-06-14
18,671,2015-12-28
18,465,2005-06-24
18,966,2018-08-09
18,77,2016-08-13
18,827,2019-04-12
18,328,2006-03-11
18,931,2006-10-27
18,368,2009-11-27
18,542,2009-11-23
18,677,2011-07-13
18,601,2012-12-28
18,649,2010-03-03
18,781,2007-03-25
18,20,2015-01-17
18,315,2020-01-14
18,399,2009-10-25
18,502,2011-02-04
18,890,2015-11-17
19,419,2020-02-24
19,86,2018-12-06
19,511,2021-03-26
19,840,2010-03-07
19,867,2004-03-06
19,637,2004-04-02
19,239,2019-03-25
19,454,2017-02-26
19,670,2015-01-14
19,240,2011-12-27
19,338,2012-12-07
19,195,2014-04-27
19,794,2004-08-17
19,649,2008-04-24
19,747,2006-06-19
19,808,2009-04-04
19,447,2005-08-23
19,603,2021-01-03
19,311,2018-04-06
19,771,2012-11-01
19,305,2022-12-28
19,977,2016-06-30
19,576,2014-10-03
19,697,2023-02-17
19,407,2013-06-01
19,287,2006-12-01
19,488,2021-05-31
19,31,2021-02-16
20,288,2017-11-16
20,712,2010-08-15
20,298,2018-06-26
20,392,2010-01-17
20,564,2007-01-19
20,466,2007-02-12
20,324,2005-10-10
20,538,2013-06-22
20,130,2014-01-30
20,713,2006-07-31
20,909,2005-09-10
20,254,2008-03-07
20,728,2015-02-01
20,874,2004-09-25
20,40,2017-10-10
20,304,2004-12-14
20,817,2013-10-23
20,968,2022-07-26
20,185,2010-11-10
20,694,2008-11-18
21,288,2017-11-26
21,853,2015-05-20
21,229,2017-02-26
21,203,2010-06-25
21,956,2018-10-30
21,74,2008-10-14
21,152,2008-08-28
21,810,2012-03-14
21,490,2006-10-02
21,495,2014-02-11
21,543,2016-12-23
21,434,2010-05-21
21,430,2019-05-13
21,704,2012-05-29
21,54,2021-10-13
21,479,2021-12-12
21,204,2010-10-01
21,931,2016-11-08
21,248,2010-03-15
21,8,2018-08-19
21,527,2020-02-23
21,375,2016-10-07
21,306,2018-05-05
21,97,2021-06-28
21,77,2012-01-04
21,915,2005-10-10
21,783,2004-11-16
21,576,2011-01-27
21,302,2007-02-20
21,882,2005-03-14
21,72,2018-09-08
21,933,2014-06-02
21,35,2017-04-21
21,855,2022-05-17
21,835,2017-10-13
21,465,2010-02-20
21,488,2011-02-25
22,924,2022-06-22
22,139,2015-10-31
22,74,2009-02-16
22,279,2006-01-28
22,137,2012-11-06
22,100,2014-08-30
22,731,2016-08-05
22,840,2009-10-01
22,918,2011-06-04
22,104,2005-04-08
22,697,2021-12-11
22,578,2013-09-07
22,263,2007-01-30
22,563,2018-12-01
22,383,2017-12-24
22,975,2004-11-28
22,488,2008-08-21
22,893,2005-01-09
22,835,2006-05-23
22,51,2021-12-21
22,514,2015-06-20
22,850,2004-11-11
22,260,2021-12-21
22,694,2008-04-03
22,831,2009-05-26
22,305,2008-10-05
22,93,2021-10-12
22,962,2020-12-24
23,260,2005-07-11
23,715,2016-11-07
23,862,2010-04-29
23,368,2013-10-24
23,71,2018-11-16
23,926,2010-05-16
23,64,2004-12-05
23,639,2018-11-17
23,411,2019-10-25
23,247,2006-04-24
23,663,2019-04-10
23,365,2004-11-17
23,58,2010-01-17
23,713,2014-03-21
23,934,2021-01-11
23,779,2010-11-25
23,990,2005-04-24
23,403,2009-04-10
23,120,2022-08-09
23,223,2008-03-08
23,621,2009-08-06
24,127,2007-04-25
24,777,2004-07-05
24,724,2018-04-16
24,335,2016-10-16
24,850,2013-05-18
24,318,2004-07-09
24,695,2022-07-08
24,773,2022-09-19
24,633,2007-12-12
24,620,2009-01-05
24,66,2007-09-10
24,719,2011-05-10
24,626,2012-11-05
24,288,2022-07-28
24,171,2016-04-07
24,27,2008-07-02
24,856,2004-10-26
24,429,2005-12-16
24,559,2021-06-02
24,238,2020-09-07
24,861,2010-08-31
24,776,2008-07-13
24,901,2021-05-21
24,503,2008-01-11
24,241,2006-03-04
24,564,2012-04-10
24,602,2014-03-20
24,876,2023-02-24
24,97,2018-02-04
25,669,2013-11-23
25,290,2012-08-06
25,600,2016-09-24
25,876,2022-07-02
25,857,2016-02-13
25,205,2022-08-31
25,49,2006-07-07
25,880,2011-01-26
25,980,2008-07-26
25,981,2009-07-28
25,991,2017-12-10
25,963,2021-02-08
25,306,2013-09-10
25,258,2019-10-17
25,677,2010-12-04
25,400,2017-08-28
25,328,2006-04-20
25,192,2005-01-17
25,802,2007-09-16
25,806,2009-12-03
25,781,2017-02-03
25,889,2014-03-19
25,459,2022-10-08
25,637,2019-05-30
25,955,2016-07-22
25,704,2013-07-05
25,187,2017-07-26
25,773,2012-03-27
25,590,2012-06-03
26,593,2023-01-13
26,263,2014-09-16
26,251,2022-02-17
26,120,2014-05-21
26,293,2005-08-13
26,187,2013-01-31
26,881,2022-12-31
26,803,2004-10-03
26,863,2010-05-27
26,254,2012-01-22
26,361,2007-06-12
26,528,2009-12-26
26,53,2013-05-14
26,296,2008-09-14
26,513,2023-02-01
26,950,2005-03-04
26,711,2021-12-10
26,946,2013-04-19
26,721,2015-10-03
26,147,2018-05-11
26,876,2009-02-06
26,502,2019-03-07
26,16,2018-04-04
26,466,2010-08-06
26,877,2005-12-12
26,140,2017-01-01
26,430,2005-03-31
26,234,2020-04-09
26,789,2005-06-30
26,691,2006-10-27
27,746,2016-12-17
27,265,2012-11-17
27,623,2019-01-01
27,891,2011-07-19
27,990,2014-02-11
27,294,2010-09-15
27,683,2008-03-09
27,197,2007-10-06
27,402,2018-08-26
27,117,2021-02-17
27,313,2011-03-13
27,223,2017-09-24
27,484,2013-02-26
27,37,2006-07-20
27,322,2010-09-18
27,744,2014-06-25
27,272,2012-09-06
27,411,2009-09-08
27,154,2012-08-15
27,964,2012-01-17
27,360,2004-06-23
27,193,2004-10-13
27,526,2016-05-06
27,972,2017-03-13
27,219,2011-09-16
27,241,2014-03-23
27,380,2021-03-29
28,526,2021-01-20
28,682,2011-01-15
28,750,2020-07-10
28,155,2018-11-08
28,898,2019-12-07
28,758,2014-09-10
28,149,2011-10-09
28,831,2022-08-29
28,501,2014-04-21
28,377,2007-03-27
28,55,2014-11-09
28,254,2012-09-29
28,285,2004-07-04
28,857,2009-05-13
28,975,2007-06-03
28,105,2004-10-20
28,182,2010-03-17
28,1,2017-01-23
28,177,2023-03-01
28,204,2012-09-04
28,99,2011-04-03
29,334,2014-03-01
29,218,2011-03-27
29,664,2006-11-13
29,612,2012-10-29
29,244,2019-12-16
29,423,2017-02-17
29,547,2009-06-07
29,421,2013-12-27
29,35,2011-11-11
29,210,2013-04-29
29,803,2017-10-19
29,898,2012-09-17
29,959,2014-10-21
29,990,2011-07-17
29,168,2004-05-31
29,158,2015-08-10
29,864,2013-06-24
29,683,2012-08-15
29,811,2021-04-29
29,203,2022-09-07
29,633,2006-03-31
29,653,2015-10-19
29,914,2021-05-26
29,989,2013-03-10
29,534,2018-10-24
29,262,2007-01-04
29,405,2012-04-17
29,748,2009-09-16
29,413,2006-03-26
29,159,2007-05-24
29,163,2018-01-29
29,272,2020-07-13
30,211,2007-03-20
30,772,2009-11-18
30,74,2004-09-04
30,268,2008-07-17
30,275,2015-03-25
30,456,2013-10-09
30,212,2006-05-04
30,301,2016-05-14
30,907,2020-09-12
30,543,2010-04-27
30,816,2018-03-13
30,89,2020-09-05
30,836,2009-04-23
30,597,2012-05-25
30,908,2008-02-07
30,701,2015-09-29
30,684,2005-07-27
30,673,2008-09-22
30,560,2016-03-18
30,52,2012-12-19
30,861,2021-07-02
30,705,2012-02-05
30,377,2012-07-18
30,23,2008-11-04
30,306,2018-06-04
30,640,2016-07-02
30,81,2020-05-02
30,555,2010-07-16
30,53,2009-10-08
30,682,2015-12-16
30,899,2009-12-10
30,740,2012-05-03
30,433,2014-04-26
31,686,2008-07-06
31,403,2021-06-12
31,327,2016-06-09
31,31,2010-03-11
31,792,2009-06-10
31,654,2010-04-17
31,879,2006-03-24
31,516,2004-03-22
31,91,2012-08-27
31,294,2017-06-22
31,697,2010-04-08
31,545,2010-02-22
31,810,2007-11-12
31,384,2017-02-13
31,249,2010-10-23
31,328,2019-01-06
31,900,2010-06-10
31,99,2017-01-27
31,28,2015-09-12
31,318,2011-06-05
31,344,2011-03-17
31,901,2007-09-07
31,585,2009-12-04
31,293,2008-10-19
31,211,2014-03-16
31,332,2005-08-31
31,1,2021-10-16
31,108,2013-11-19
31,175,2005-04-25
31,577,2013-12-10
31,295,2022-10-24
31,751,2021-03-01
31,877,2004-05-09
32,191,2008-09-06
32,688,2005-07-23
32,218,2017-05-27
32,934,2019-08-20
32,982,2021-09-16
32,164,2021-03-14
32,281,2014-05-29
32,656,2006-06-06
32,940,2009-12-29
32,329,2021-11-19
32,124,2011-05-02
32,152,2008-06-27
32,614,2020-10-18
32,760,2022-08-10
32,816,2021-05-18
32,302,2020-01-06
32,478,2022-07-24
32,806,2007-04-26
32,34,2020-07-30
32,839,2014-06-08
32,822,2009-05-30
32,303,2008-09-28
32,862,2010-06-26
32,849,2012-06-19
32,172,2021-07-27
32,959,2017-06-13
32,106,2015-04-09
32,393,2008-08-16
32,610,2008-12-27
32,776,2009-07-08
32,635,2016-05-01
32,5,2004-05-06
32,685,2008-06-14
32,298,2019-09-18
32,9,2010-10-16
32,186,2009-10-26
33,403,2016-10-03
33,917,2011-02-17
33,167,2010-08-20
33,327,2011-02-17
33,702,2021-01-22
33,482,2009-01-11
33,901,2021-12-31
33,888,2020-01-25
33,465,2018-12-06
33,848,2019-03-04
33,360,2019-01-17
33,696,2011-03-09
33,484,2005-04-29
33,119,2016-06-23
33,452,2017-03-04
33,852,2006-09-01
33,446,2020-07-11
33,282,2021-02-01
33,535,2021-05-09
33,346,2019-05-22
33,840,2021-12-27
33,481,2005-09-13
33,875,2022-01-02
34,289,2012-03-07
34,299,2014-04-19
34,679,2016-10-02
34,4,2016-08-21
34,914,2007-02-14
34,157,2007-04-27
34,766,2019-01-27
34,40,2013-08-11
34,599,2021-02-02
34,211,2006-12-26
34,278,2004-08-05
34,275,2010-04-09
34,527,2005-07-23
34,979,2009-09-27
34,941,2005-05-31
34,612,2012-06-12
34,722,2017-11-11
34,952,2015-11-14
34,45,2006-03-07
34,283,2008-08-21
34,765,2008-12-10
34,757,2016-05-19
34,537,2006-02-23
34,620,2021-08-11
34,453,2008-02-13
34,691,2010-08-31
34,272,2007-02-14
34,378,2016-12-06
34,960,2005-04-23
35,287,2014-10-20
35,898,2007-08-27
35,21,2021-02-04
35,908,2008-05-12
35,933,2009-07-04
35,274,2021-04-18
35,196,2020-12-12
35,222,2008-11-06
35,337,2004-12-07
35,79,2012-09-04
35,104,2019-06-25
35,57,2014-06-10
35,921,2008-05-09
35,912,2013-01-29
35,614,2015-01-19
35,344,2011-03-05
35,590,2005-06-07
35,552,2010-08-21
35,34,2017-08-12
35,689,2021-01-07
35,753,2019-04-27
35,356,2008-08-15
35,161,2009-07-14
35,213,2021-06-07
35,310,2008-01-14
35,744,2008-07-15
35,548,2010-10-13
35,171,2016-05-14
35,303,2021-03-30
36,513,2006-11-20
36,750,2012-09-19
36,423,2007-08-09
36,641,2009-12-11
36,572,2021-09-21
36,87,2007-12-29
36,155,2015-03-02
36,2,2012-03-18
36,566,2011-11-16
36,226,2006-12-01
36,300,2013-10-27
36,295,2011-01-24
36,411,2004-12-16
36,23,2013-07-19
36,653,2005-12-16
36,552,2015-01-05
36,146,2016-03-24
36,587,2018-07-17
36,172,2008-06-30
36,256,2020-03-29
36,320,2014-03-20
36,540,2016-05-08
36,531,2019-01-30
36,56,2005-10-16
36,625,2019-02-07
36,929,2005-09-28
36,447,2014-10-14
36,721,2005-01-16
37,208,2016-09-26
37,316,2017-12-22
37,243,2010-05-23
37,317,2008-02-01
37,152,2013-06-19
37,705,2016-10-20
37,196,2011-04-24
37,206,2010-07-03
37,507,2011-11-14
37,207,2020-11-26
37,913,2005-02-17
37,897,2007-08-19
37,858,2016-03-01
37,656,2008-10-26
37,406,2011-09-02
37,400,2009-04-01
37,633,2004-04-01
37,949,2017-07-14
37,241,2016-01-14
37,124,2016-01-02
37,909,2009-02-15
37,663,2018-05-25
37,85,2010-11-26
37,579,2004-04-04
37,651,2005-04-14
37,138,2006-04-11
37,87,2017-10-14
37,58,2005-04-13
37,149,2008-02-20
38,853,2007-01-20
38,745,2007-03-05
38,797,2013-05-21
38,826,2014-09-16
38,723,2008-07-22
38,747,2016-08-16
38,428,2013-02-22
38,490,2022-08-23
38,303,2006-05-03
38,735,2006-03-30
38,471,2008-07-17
38,126,2015-02-06
38,228,2008-02-21
38,890,2010-09-29
38,15,2016-08-02
38,855,2018-01-29
38,253,2009-05-09
38,98,2016-08-05
38,17,2020-08-13
38,75,2016-12-28
38,989,2005-12-24
38,263,2004-03-26
38,549,2016-10-05
38,680,2016-03-07
38,314,2014-04-10
38,985,2009-08-23
38,82,2015-07-14
38,290,2006-02-28
38,986,2007-01-26
38,916,2013-04-12
38,873,2019-01-06
39,790,2015-07-23
39,98,2019-07-12
39,723,2015-01-18
39,410,2010-02-28
39,997,2012-01-13
39,948,2008-07-02
39,926,2008-01-24
39,304,2016-08-30
39,642,2011-01-06
39,278,2004-03-01
39,206,2010-09-13
39,382,2004-10-26
39,944,2005-09-10
39,354,2005-07-11
39,960,2005-08-26
39,866,2015-08-19
39,184,2013-05-17
39,820,2007-11-30
39,196,2015-12-14
39,574,2019-10-29
39,130,2008-07-16
39,965,2018-01-21
39,57,2018-10-21
39,446,2008-02-13
39,979,2014-05-13
39,799,2010-07-17
39,580,2019-01-13
39,283,2013-03-05
39,66,2015-04-05
39,156,2011-04-21
40,994,2009-04-15
40,268,2018-04-03
40,958,2017-09-13
40,253,2020-10-11
40,860,2023-03-04
40,766,2014-07-19
40,806,2007-02-09
40,383,2008-09-12
40,51,2018-01-06
40,227,2023-01-17
40,868,2014-04-06
40,275,2007-08-05
40,404,2004-07-24
40,409,2014-02-24
40,97,2012-03-18
40,983,2013-04-15
40,688,2019-08-08
40,15,2014-08-01
40,655,2012-10-31
40,64,2017-05-07
40,566,2019-01-06
40,861,2008-06-04
40,675,2021-05-29
40,613,2007-01-14
41,847,2007-07-29
41,178,2016-05-26
41,161,2013-11-18
41,355,2004-09-05
41,11,2011-12-03
41,898,2017-10-13
41,417,2012-01-17
41,109,2016-05-06
41,147,2019-12-21
41,967,2005-02-28
41,312,2009-04-12
41,635,2016-05-02
41,801,2016-09-13
41,172,2010-12-02
41,996,2012-05-11
41,689,2007-08-11
41,915,2010-08-03
41,74,2017-12-13
41,905,2019-05-24
41,822,2017-04-29
41,493,2019-10-17
41,902,2018-05-03
41,290,2010-05-16
41,503,2011-04-10
41,950,2010-02-17
41,476,2005-04-04
41,572,2011-12-25
41,139,2008-03-22
41,894,2015-02-09
41,740,2016-08-31
41,419,2012-01-15
41,896,2018-11-20
41,535,2015-02-21
41,71,2005-09-06
41,707,2010-01-16
41,637,2018-08-04
41,754,2012-07-25
42,107,2009-06-27
42,771,2004-11-21
42,890,2022-12-02
42,523,2020-04-17
42,103,2021-02-21
42,515,2013-09-02
42,905,2005-05-15
42,762,2018-01-05
42,377,2010-04-07
42,42,2007-11-26
42,579,2020-07-10
42,199,2023-01-20
42,917,2006-06-19
42,664,2014-05-29
42,991,2013-12-09
42,98,2006-09-28
42,626,2019-04-02
42,437,2011-06-11
42,343,2017-02-10
42,493,2006-02-15
42,173,2010-05-21
42,955,2022-11-19
42,140,2010-06-29
42,180,2012-10-29
42,990,2014-09-03
42,38,2016-10-01
42,502,2013-02-08
42,764,2022-05-20
42,538,2013-09-22
42,529,2016-03-22
42,300,2020-03-18
42,288,2022-08-01
42,589,2021-08-01
42,425,2007-05-28
42,179,2019-04-15
42,147,2015-08-30
42,907,2007-05-09
42,269,2021-09-06
42,682,2008-06-17
42,188,2013-11-02
43,662,2021-01-03
43,524,2014-06-12
43,412,2017-04-12
43,651,2007-09-21
43,335,2017-11-24
43,762,2004-07-22
43,613,2015-06-05
43,160,2010-07-04
43,731,2020-05-10
43,421,2021-11-10
43,269,2015-07-31
43,599,2008-02-10
43,70,2022-10-26
43,352,2015-04-13
43,995,2010-01-29
43,137,2007-09-16
43,314,2019-03-14
43,458,2017-02-22
43,220,2012-09-21
43,935,2019-08-22
43,260,2006-07-14
43,520,2006-03-10
43,759,2021-08-16
43,648,2008-11-22
43,211,2009-12-25
43,50,2019-07-03
43,170,2008-06-01
43,734,2020-12-02
43,263,2013-05-27
43,9,2011-05-22
43,677,2004-09-06
43,107,2020-09-17
43,945,2005-06-22
43,893,2018-05-06
43,584,2017-05-13
43,849,2022-01-03
43,460,2019-12-09
43,156,2014-04-21
43,28,2005-12-18
44,591,2008-08-18
