idmensaje,idusuarioremitente,idusuarioreceptor,fechamensaje,contenidomensaje
108,6,730,2022-01-03,¿Qué piensas de las habilidades especiales?
109,6,427,2022-01-29,¿Quieres jugar de nuevo?
110,6,990,2022-01-11,¡No puedo esperar para jugar de nuevo!
111,6,749,2022-01-27,¿Qué piensas de las últimas actualizaciones?
112,6,553,2022-01-15,¿Qué te parece si creamos una estrategia?
113,6,639,2022-01-03,¿Qué piensas de los gráficos del juego?
114,6,152,2022-01-30,¡Vamos a hacer un equipo imbatible!
115,6,975,2022-01-09,¿Qué te parece si jugamos en equipo?
116,6,792,2022-01-15,Gracias por el carreo
117,6,227,2022-01-04,¿Cuál es tu personaje favorito?
118,6,258,2022-01-21,¡Eso fue impresionante!
119,6,424,2022-01-14,¿Qué piensas de los gráficos del juego?
120,6,705,2022-01-12,¡Eso fue épico!
121,7,860,2022-01-27,¿Qué piensas de los gráficos del juego?
122,7,366,2022-01-25,¿Cómo te va en el juego?
123,7,587,2022-01-26,No jugueis con el le faltan manos
124,7,522,2022-01-12,¿Qué te parece si creamos un torneo?
125,7,731,2022-01-21,Vete a recoger patatas
126,7,111,2022-01-18,Echemonos algunas partidas al CSGO
127,7,438,2022-01-21,¿Has visto la última actualización?
128,7,133,2022-01-05,¿Cuál es tu personaje más odiado?
129,7,809,2022-01-01,¿Cuántas horas has jugado?
130,7,282,2022-01-18,Hola te acuerdas de mi? besis <oo>
131,7,815,2022-01-03,¿Te gustaría unirte a nuestro clan?
132,7,841,2022-01-28,No jugueis con el le faltan manos
133,7,644,2022-01-10,¿Te gustaría unirte a nuestro clan?
134,7,801,2022-01-22,Que perfil mas chulo
135,7,310,2022-01-09,Vete a recoger patatas
136,7,837,2022-01-05,¿Qué te parece si creamos una estrategia?
137,7,953,2022-01-08,No me puedo creer que tengas tan pocas horas
138,7,577,2022-01-11,¡Eso fue épico!
139,7,864,2022-01-19,¿Te gustaría una revancha?
140,7,118,2022-01-05,¿Cuál es tu arma favorita?
141,8,98,2022-01-10,¿Qué te parece si jugamos en modo historia?
142,8,897,2022-01-05,¿Qué te parece si creamos un torneo?
143,8,307,2022-01-03,¡Esa fue una gran partida!
144,8,151,2022-01-02,Que perfil mas chulo
145,8,13,2022-01-29,¡Esa fue una gran jugada!
146,8,112,2022-01-19,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
147,8,397,2022-01-12,Como es posible que tengas tantas horas O:
148,8,806,2022-01-04,¡Eso fue épico!
149,8,61,2022-01-17,¿Te gustaría unirte a nuestro grupo de
150,8,414,2022-01-27,¿Qué piensas de los gráficos del juego?
151,8,793,2022-01-17,¿Te gustaría jugar en equipo?
152,8,452,2022-01-08,Muy cringe tu foto de perfil
153,8,993,2022-01-11,No me puedo creer que tengas tan pocas horas
154,8,689,2022-01-26,¿Qué piensas de las últimas actualizaciones?
155,8,655,2022-01-25,Agregame para jugar juntos :)
156,8,629,2022-01-03,Echemonos algunas partidas al CSGO
157,8,305,2022-01-19,¿Qué te parece si creamos una estrategia?
158,8,642,2022-01-30,Algun dia me tienes que enseñar a jugar al Stardew Valley
159,8,449,2022-01-23,¡Eso fue impresionante!
160,8,707,2022-01-22,¿Has probado el nuevo personaje?
161,9,298,2022-01-09,¿Has visto la nueva arma?
162,9,954,2022-01-11,¿Cómo has estado?
163,9,147,2022-01-26,¿Quieres jugar de nuevo?
164,9,87,2022-01-21,GG
165,9,115,2022-01-09,No jugueis con el le faltan manos
166,9,745,2022-01-11,¿Qué te parece si creamos una estrategia?
167,9,871,2022-01-15,¿Te gustaría jugar en grupo?
168,9,904,2022-01-23,¿Cuál es tu personaje más odiado?
169,9,972,2022-01-03,¿Qué piensas de los gráficos del juego?
170,9,89,2022-01-28,¡No puedo creer que ganamos esa partida!
171,9,270,2022-01-15,Echemonos algunas partidas al CSGO
172,9,809,2022-01-28,¿Cuál es tu estrategia favorita?
173,9,36,2022-01-07,¿Qué te parece si jugamos en equipo?
174,9,292,2022-01-16,GG
175,9,311,2022-01-19,¿Te gustaría jugar en grupo?
176,9,814,2022-01-20,¡No puedo esperar para jugar de nuevo!
177,9,493,2022-01-13,¿Cómo has estado?
178,9,410,2022-01-22,¡Vamos a hacer un equipo imbatible!
179,9,116,2022-01-29,¿Cuál es tu mapa favorito?
180,9,337,2022-01-04,¿Cuál es tu mapa favorito?
181,10,89,2022-01-07,¡Esa fue una gran jugada!
182,10,932,2022-01-02,Que perfil mas chulo
183,10,801,2022-01-01,¡Eso fue épico!
184,10,280,2022-01-30,¿Qué te parece si jugamos en equipo?
185,10,200,2022-01-13,Algun dia me tienes que enseñar a jugar al Stardew Valley
186,10,235,2022-01-29,Vete a recoger patatas
187,10,491,2022-01-19,¡Vamos a hacer un equipo imbatible!
188,10,714,2022-01-22,¿Cuál es tu personaje más odiado?
189,10,435,2022-01-04,¿Te gustaría jugar en equipo?
190,10,624,2022-01-08,Camper tunneler -rep
191,10,624,2022-01-19,Muy cringe tu foto de perfil
192,10,387,2022-01-07,¿Cómo te va en el juego?
193,10,788,2022-01-05,¿Qué te parece si jugamos en equipo?
194,10,50,2022-01-20,¿Has visto la nueva arma?
195,10,31,2022-01-08,¡Esa fue una gran partida!
196,10,302,2022-01-10,Agregame para jugar juntos :)
197,10,337,2022-01-12,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
198,10,794,2022-01-20,Agregame para jugar juntos :)
199,10,252,2022-01-26,¿Qué te parece si creamos un torneo?
200,10,739,2022-01-15,¿Qué piensas de los gráficos del juego?
201,11,870,2022-01-19,No jugueis con el le faltan manos
202,11,494,2022-01-15,Muy cringe tu foto de perfil
203,11,356,2022-01-29,¡Eso estuvo muy cerca!
204,11,257,2022-01-08,¿Has visto el último tráiler?
205,11,212,2022-01-17,¡Vamos a hacer un equipo imbatible!
206,11,49,2022-01-28,¿Has probado el nuevo personaje?
207,11,505,2022-01-19,¡Eso estuvo muy cerca!
208,11,969,2022-01-25,¿Te gustaría unirte a nuestro grupo de
209,11,345,2022-01-08,¿Cuál es tu estrategia favorita?
210,11,417,2022-01-14,¡No puedo esperar para jugar de nuevo!
211,11,730,2022-01-07,¿Has visto la última actualización?
212,11,758,2022-01-28,¿Qué te parece si creamos un torneo?
213,11,598,2022-01-28,¿Qué piensas de los gráficos del juego?
214,11,81,2022-01-17,¿Qué te parece si creamos una estrategia?
215,11,352,2022-01-15,¿Qué piensas de las habilidades especiales?
216,11,491,2022-01-28,Agregame para jugar juntos :)
217,11,153,2022-01-17,No jugueis con el le faltan manos
218,11,12,2022-01-19,Algun dia me tienes que enseñar a jugar al Stardew Valley
219,11,963,2022-01-14,¿Qué te parece si jugamos en equipo?
220,11,791,2022-01-23,¿Qué te parece si creamos un torneo?
221,12,924,2022-01-03,¿Quieres jugar de nuevo?
222,12,466,2022-01-26,Agregame para jugar juntos :)
223,12,798,2022-01-23,¿Has visto la última actualización?
224,12,172,2022-01-27,¿Cómo te va en el juego?
225,12,491,2022-01-11,No jugueis con el le faltan manos
226,12,632,2022-01-18,¿Has visto el último tráiler?
227,12,234,2022-01-13,¿Qué piensas de los gráficos del juego?
228,12,190,2022-01-03,No me puedo creer que tengas tan pocas horas
229,12,625,2022-01-29,¡Eso estuvo muy cerca!
230,12,3,2022-01-10,¿Quieres jugar una partida?
231,12,178,2022-01-14,¿Te gustaría jugar en equipo?
232,12,565,2022-01-26,¿Cuál es tu estrategia favorita?
233,12,51,2022-01-22,Agregame para jugar juntos :)
234,12,84,2022-01-15,¿Has probado el nuevo personaje?
235,12,213,2022-01-26,¿Has visto el último tráiler?
236,12,208,2022-01-17,Camper tunneler -rep
237,12,726,2022-01-17,GG
238,12,586,2022-01-17,¿Qué piensas de las últimas actualizaciones?
239,12,631,2022-01-30,¿Has visto la nueva arma?
240,12,999,2022-01-11,No me carga tu descripcion :(
241,13,645,2022-01-08,¡No puedo esperar para jugar de nuevo!
242,13,288,2022-01-10,¡Eso fue épico!
243,13,986,2022-01-26,Gracias por el carreo
244,13,187,2022-01-02,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
245,13,307,2022-01-03,¿Qué piensas de los gráficos del juego?
246,13,2,2022-01-02,¡Eso fue impresionante!
247,13,540,2022-01-18,Que perfil mas chulo
248,13,828,2022-01-02,Vete a recoger patatas
249,13,858,2022-01-29,¿Qué te parece si nos agregamos como amigos?
250,13,413,2022-01-08,¡No puedo esperar para jugar de nuevo!
251,13,988,2022-01-02,¿Cuál es tu personaje favorito?
252,13,231,2022-01-12,¿Cuál es tu personaje favorito?
253,13,744,2022-01-19,¿Te gustaría jugar en equipo?
254,13,311,2022-01-25,¿Qué piensas de los gráficos del juego?
255,13,907,2022-01-27,¡Esa fue una gran partida!
256,13,164,2022-01-23,¿Te gustaría jugar en grupo?
257,13,322,2022-01-18,Agregame para jugar juntos :)
258,13,340,2022-01-19,¿Te gustaría una revancha?
259,13,86,2022-01-29,¿Qué piensas de los gráficos del juego?
260,13,278,2022-01-18,¡Esa fue una gran partida!
261,14,837,2022-01-20,¿Cuál es tu mapa favorito?
262,14,143,2022-01-29,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
263,14,96,2022-01-16,¿Cuál es tu personaje favorito?
264,14,655,2022-01-17,¡Eso fue épico!
265,14,452,2022-01-18,¿Te gustaría jugar en grupo?
266,14,50,2022-01-11,+rep divertido jugar con el :D
267,14,400,2022-01-16,Que perfil mas chulo
268,14,771,2022-01-21,¿Has visto la nueva arma?
269,14,660,2022-01-15,¿Has visto la última actualización?
270,14,411,2022-01-19,¿Has visto el último tráiler?
271,14,580,2022-01-01,¡Eso estuvo muy cerca!
272,14,193,2022-01-15,Como es posible que tengas tantas horas O:
273,14,551,2022-01-13,¿Cuál es tu mapa favorito?
274,14,251,2022-01-22,Como es posible que tengas tantas horas O:
275,14,378,2022-01-25,GG
276,14,544,2022-01-23,¿Cuál es tu estrategia favorita?
277,14,650,2022-01-11,¿Quieres jugar una partida?
278,14,870,2022-01-20,Como es posible que tengas tantas horas O:
279,14,272,2022-01-10,¿Cuál es tu personaje más odiado?
280,14,429,2022-01-21,Vete a recoger patatas
281,15,565,2022-01-23,¿Cómo te va en el juego?
282,15,747,2022-01-19,¡Eso fue épico!
283,15,362,2022-01-15,¿Cuál es tu mapa favorito?
284,15,146,2022-01-01,Agregame para jugar juntos :)
285,15,378,2022-01-11,¡Esa fue una gran partida!
286,15,277,2022-01-07,¿Qué te parece si nos agregamos como amigos?
287,15,78,2022-01-11,No jugueis con el le faltan manos
288,15,191,2022-01-14,No jugueis con el le faltan manos
289,15,533,2022-01-04,¿Te gustaría una revancha?
290,15,598,2022-01-16,¿Has visto la última actualización?
291,15,116,2022-01-24,¡No puedo creer que ganamos esa partida!
292,15,440,2022-01-20,¿Qué piensas de los gráficos del juego?
293,15,641,2022-01-07,GG
294,15,862,2022-01-08,¿Cuántas horas has jugado?
295,15,475,2022-01-16,¿Cuál es tu personaje favorito?
296,15,903,2022-01-07,¡Eso fue impresionante!
297,15,413,2022-01-09,+rep divertido jugar con el :D
298,15,406,2022-01-27,¿Te gustaría unirte a nuestro grupo de
299,15,530,2022-01-09,Algun dia me tienes que enseñar a jugar al Stardew Valley
300,15,574,2022-01-15,Agregame para jugar juntos :)
301,16,705,2022-01-17,Gracias por el carreo
302,16,687,2022-01-07,¡Eso estuvo muy cerca!
303,16,481,2022-01-22,¿Qué piensas de los gráficos del juego?
304,16,919,2022-01-28,¿Qué piensas de los gráficos del juego?
305,16,298,2022-01-01,Hola, ¿cómo estás?
306,16,265,2022-01-26,¿Cómo te va en el juego?
307,16,519,2022-01-03,¿Qué te parece si creamos un torneo?
308,16,492,2022-01-30,Hola, ¿cómo estás?
309,16,555,2022-01-02,¿Cuál es tu personaje favorito?
310,16,931,2022-01-06,Camper tunneler -rep
311,16,824,2022-01-14,¿Te gustaría unirte a nuestro grupo de
312,16,635,2022-01-19,Que perfil mas chulo
313,16,162,2022-01-23,¿Qué piensas de las últimas actualizaciones?
314,16,6,2022-01-07,¡Vamos a hacer un equipo imbatible!
315,16,915,2022-01-19,No te rindas tienes potencial
316,16,234,2022-01-25,¿Qué piensas de la música del juego?
317,16,130,2022-01-12,¿Cuál es tu personaje favorito?
318,16,408,2022-01-29,¡Vamos a hacer un equipo imbatible!
319,16,464,2022-01-01,Me intercambias cromos?
320,16,510,2022-01-01,Algun dia me tienes que enseñar a jugar al Stardew Valley
321,17,658,2022-01-08,¡No puedo creer que ganamos esa partida!
322,17,666,2022-01-18,¡Vamos a hacer un equipo imbatible!
323,17,789,2022-01-12,¡Eso estuvo muy cerca!
324,17,317,2022-01-01,¿Qué te parece si creamos un torneo?
325,17,975,2022-01-01,Gracias por el carreo
326,17,251,2022-01-21,¿Has visto la última actualización?
327,17,164,2022-01-20,¿Has visto la nueva arma?
328,17,485,2022-01-30,¡No puedo creer que ganamos esa partida!
329,17,844,2022-01-16,¿Cuál es tu arma favorita?
330,17,128,2022-01-01,¿Qué piensas de las últimas actualizaciones?
331,17,505,2022-01-29,¿Cuál es tu personaje más odiado?
332,17,125,2022-01-23,Me intercambias cromos?
333,17,58,2022-01-02,¡No puedo esperar para jugar de nuevo!
334,17,550,2022-01-07,Algun dia me tienes que enseñar a jugar al Stardew Valley
335,17,156,2022-01-20,¿Qué te parece si creamos un torneo?
336,17,768,2022-01-25,¿Cuál es tu personaje favorito?
337,17,814,2022-01-29,¡Eso estuvo muy cerca!
338,17,677,2022-01-21,¡Eso estuvo muy cerca!
339,17,431,2022-01-10,Que perfil mas chulo
340,17,438,2022-01-17,¿Qué te parece si jugamos en modo historia?
341,18,429,2022-01-29,¿Qué te parece si nos agregamos como amigos?
342,18,83,2022-01-25,¿Qué piensas de las últimas actualizaciones?
343,18,852,2022-01-01,¿Te gustaría unirte a nuestro clan?
344,18,354,2022-01-24,GG
345,18,681,2022-01-19,¿Cuál es tu arma favorita?
346,18,262,2022-01-15,Vete a recoger patatas
347,18,327,2022-01-06,¡Eso fue épico!
348,18,197,2022-01-04,No te rindas tienes potencial
349,18,220,2022-01-02,¿Qué piensas de las habilidades especiales?
350,18,168,2022-01-28,¿Has visto la última actualización?
351,18,783,2022-01-21,¡Eso estuvo muy cerca!
352,18,758,2022-01-30,¿Te gustaría unirte a nuestro clan?
353,18,166,2022-01-17,¿Has visto la última actualización?
354,18,932,2022-01-03,Hola te acuerdas de mi? besis <oo>
355,18,821,2022-01-02,¿Qué piensas de las últimas actualizaciones?
356,18,673,2022-01-16,¡Vamos a hacer un equipo imbatible!
357,18,71,2022-01-07,¿Qué te parece si jugamos en equipo?
358,18,995,2022-01-11,¿Quieres jugar de nuevo?
359,18,316,2022-01-12,¿Cuál es tu personaje favorito?
360,18,920,2022-01-23,¿Qué te parece si creamos un torneo?
361,19,851,2022-01-04,Gracias por el carreo
362,19,485,2022-01-07,Hola, ¿cómo estás?
363,19,760,2022-01-08,¿Te gustaría jugar en equipo?
364,19,885,2022-01-04,¡Eso estuvo muy cerca!
365,19,41,2022-01-09,No jugueis con el le faltan manos
366,19,433,2022-01-30,¿Qué te parece si creamos una estrategia?
367,19,115,2022-01-06,¿Cuál es tu arma favorita?
368,19,253,2022-01-22,¿Qué te parece si jugamos en equipo?
369,19,283,2022-01-03,¿Cuál es tu mapa favorito?
370,19,781,2022-01-05,¿Te gustaría unirte a nuestro grupo de
371,19,18,2022-01-08,¡No puedo creer que ganamos esa partida!
372,19,412,2022-01-30,¿Qué te parece si nos agregamos como amigos?
373,19,688,2022-01-11,¿Te gustaría una revancha?
374,19,773,2022-01-04,Muy cringe tu foto de perfil
375,19,296,2022-01-30,¿Qué piensas de las habilidades especiales?
376,19,389,2022-01-19,¿Te gustaría unirte a nuestro grupo de
377,19,393,2022-01-19,Como es posible que tengas tantas horas O:
378,19,343,2022-01-26,¿Cuál es tu arma favorita?
379,19,85,2022-01-18,¿Te gustaría jugar en equipo?
380,19,758,2022-01-25,¿Cuál es tu mapa favorito?
381,20,343,2022-01-30,Muy cringe tu foto de perfil
382,20,426,2022-01-19,Gracias por el carreo
383,20,887,2022-01-22,Echemonos algunas partidas al CSGO
384,20,477,2022-01-10,¡Eso estuvo muy cerca!
385,20,519,2022-01-20,¿Qué piensas de los gráficos del juego?
386,20,205,2022-01-24,¿Qué te parece si creamos un torneo?
387,20,144,2022-01-21,¿Qué piensas de la música del juego?
388,20,505,2022-01-18,¿Te gustaría unirte a nuestro clan?
389,20,937,2022-01-13,Echemonos algunas partidas al CSGO
390,20,676,2022-01-25,¡No puedo esperar para jugar de nuevo!
391,20,526,2022-01-17,¿Qué piensas de las habilidades especiales?
392,20,490,2022-01-24,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
393,20,707,2022-01-16,Hola, ¿cómo estás?
394,20,318,2022-01-04,¿Cuántas horas has jugado?
395,20,219,2022-01-15,¿Te gustaría unirte a nuestro grupo de
396,20,710,2022-01-23,¿Te gustaría jugar en equipo?
397,20,646,2022-01-17,¿Qué te parece si jugamos en equipo?
398,20,932,2022-01-06,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
399,20,259,2022-01-28,¡No puedo creer que ganamos esa partida!
400,20,948,2022-01-23,¿Qué piensas de la música del juego?
401,21,222,2022-01-11,¿Qué piensas de las habilidades especiales?
402,21,558,2022-01-22,¿Qué piensas de las últimas actualizaciones?
403,21,455,2022-01-10,Como es posible que tengas tantas horas O:
404,21,298,2022-01-16,¿Cuál es tu personaje más odiado?
405,21,838,2022-01-11,¿Quieres jugar de nuevo?
406,21,420,2022-01-29,No me carga tu descripcion :(
407,21,438,2022-01-03,¡Eso fue épico!
408,21,380,2022-01-24,¿Cuál es tu personaje favorito?
409,21,65,2022-01-29,¡No puedo creer que ganamos esa partida!
410,21,257,2022-01-19,¡No puedo esperar para jugar de nuevo!
411,21,494,2022-01-19,¿Has visto el último tráiler?
412,21,388,2022-01-11,Algun dia me tienes que enseñar a jugar al Stardew Valley
413,21,260,2022-01-13,¿Cuál es tu mapa favorito?
414,21,942,2022-01-14,¿Qué te parece si jugamos en modo historia?
415,21,229,2022-01-09,¿Te gustaría jugar en grupo?
416,21,498,2022-01-28,¡Vamos a hacer un equipo imbatible!
417,21,285,2022-01-07,¿Cómo te va en el juego?
418,21,743,2022-01-26,Como es posible que tengas tantas horas O:
419,21,221,2022-01-24,¡Eso estuvo muy cerca!
420,21,922,2022-01-07,¿Qué piensas de los gráficos del juego?
421,22,807,2022-01-27,Echemonos algunas partidas al CSGO
422,22,37,2022-01-06,¿Cuál es tu arma favorita?
423,22,79,2022-01-23,¡Eso fue impresionante!
424,22,312,2022-01-02,¿Cuál es tu arma favorita?
425,22,631,2022-01-11,¿Quieres jugar una partida?
426,22,293,2022-01-18,¿Cuál es tu personaje más odiado?
427,22,949,2022-01-29,¿Cuál es tu estrategia favorita?
428,22,95,2022-01-20,¿Cuál es tu mapa favorito?
429,22,982,2022-01-14,Hola te acuerdas de mi? besis <oo>
430,22,128,2022-01-17,¡No puedo esperar para jugar de nuevo!
431,22,835,2022-01-21,¿Qué te parece si nos agregamos como amigos?
432,22,249,2022-01-22,Hola, ¿cómo estás?
433,22,161,2022-01-02,¿Te gustaría jugar en equipo?
434,22,613,2022-01-24,No me puedo creer que tengas tan pocas horas
435,22,750,2022-01-25,¡No puedo esperar para jugar de nuevo!
436,22,88,2022-01-19,¿Cuántas horas has jugado?
437,22,613,2022-01-14,¿Has visto la última actualización?
438,22,715,2022-01-13,¿Te gustaría jugar en grupo?
439,22,369,2022-01-26,¿Qué te parece si creamos una estrategia?
440,22,33,2022-01-30,Como es posible que tengas tantas horas O:
441,23,884,2022-01-14,¿Qué piensas de los gráficos del juego?
442,23,698,2022-01-22,¿Cómo has estado?
443,23,718,2022-01-20,¿Has visto el último tráiler?
444,23,572,2022-01-03,¿Te gustaría jugar en grupo?
445,23,95,2022-01-14,¿Has visto el último tráiler?
446,23,337,2022-01-14,¿Cuál es tu personaje favorito?
447,23,171,2022-01-12,¿Cuántas horas has jugado?
448,23,944,2022-01-05,No jugueis con el le faltan manos
449,23,825,2022-01-11,Muy cringe tu foto de perfil
450,23,350,2022-01-13,¿Qué te parece si jugamos en modo historia?
451,23,753,2022-01-02,¿Te gustaría jugar en grupo?
452,23,823,2022-01-06,¿Te gustaría unirte a nuestro grupo de
453,23,379,2022-01-01,Camper tunneler -rep
454,23,778,2022-01-04,Que perfil mas chulo
455,23,473,2022-01-23,No te rindas tienes potencial
456,23,913,2022-01-07,Como es posible que tengas tantas horas O:
457,23,187,2022-01-08,¡Eso fue épico!
458,23,852,2022-01-13,¡Eso fue épico!
459,23,311,2022-01-24,¡Eso fue impresionante!
460,23,538,2022-01-10,¿Cuál es tu estrategia favorita?
461,24,281,2022-01-10,¿Qué piensas de la música del juego?
462,24,748,2022-01-19,¿Qué piensas de las últimas actualizaciones?
463,24,778,2022-01-14,Me intercambias cromos?
464,24,860,2022-01-01,Me intercambias cromos?
465,24,471,2022-01-24,¿Te gustaría jugar en equipo?
466,24,162,2022-01-19,Me intercambias cromos?
467,24,682,2022-01-25,Vete a recoger patatas
468,24,713,2022-01-16,¿Cuál es tu personaje más odiado?
469,24,497,2022-01-20,Hola, ¿cómo estás?
470,24,107,2022-01-09,GG
471,24,718,2022-01-20,¿Qué piensas de las habilidades especiales?
